Country,"Outdoor air pollution deaths (per 100,000 individuals)",GDP per capita (international $),Population,,
Afghanistan,61.95,"$2,065 ",38040000,,
Africa,62.17,,1310000000,,
Africa Eastern and Southern,,"$3,569 ",,,
Africa Western and Central,,"$4,142 ",,,
African Region,46.09,,,,
African Union,62.17,,,,
Albania,37.5,"$13,671 ",2880000,,
Algeria,79.12,"$11,511 ",43050000,,
America,19.06,,,,
American Samoa,18.2,,"55,312.00",,
Andean Latin America,31.62,,,,
Andorra,9.15,,"77,146.00",,
Angola,47.11,"$6,670 ",31830000,,
Anguilla,,,"14,872.00",,
Antigua and Barbuda,32.81,"$21,549 ","97,115.00",,
Arab World,,"$14,600 ",,,
Argentina,24.19,"$22,064 ",44780000,,
Armenia,81.41,"$13,654 ",2960000,,
Aruba,,"(2017) $38,897","106,310.00",,
Asia,79.22,,4600000000,,
Australasia,4.28,,,,
Australia,4.31,"$49,456 ",25200000,,
Austria,13.59,"$55,833 ",8960000,,
Azerbaijan,110.76,"$14,439 ",10050000,,
Bahamas,27.54,"$37,100 ","389,486.00",,
Bahrain,108.76,"$45,060 ",1640000,,
Bangladesh,70.63,"$4,754 ",163050000,,
Barbados,36.57,"$15,639 ","287,021.00",,
Belarus,52.85,"$19,283 ",9450000,,
Belgium,14.96,"$51,743 ",11540000,,
Belize,36.22,"$7,252 ","390,351.00",,
Benin,38.01,"$3,287 ",11800000,,
Bermuda,6.74,"$81,804 ","62,508.00",,
Bhutan,68.16,"$11,832 ","763,094.00",,
Bolivia,49.42,"$8,724 ",11510000,,
Bonaire Sint Eustatius and Saba,,,"25,983.00",,
Bosnia and Herzegovina,64.65,"$14,897 ",3300000,,
Botswana,75.83,"$17,777 ",2300000,,
Brazil,20.93,"$14,764 ",211050000,,
British Virgin Islands,,,"30,033.00",,
Brunei,17.83,"$62,098 ","433,296.00",,
Bulgaria,63.8,"$23,192 ",7000000,,
Burkina Faso,27.14,"$2,178 ",20320000,,
Burundi,22.27,$752 ,11530000,,
Cambodia,34.83,"$4,389 ",16490000,,
Cameroon,77.18,"$3,642 ",25880000,,
Canada,6.17,"$49,007 ",37410000,,
Cape Verde,76.9,"$7,172 ","549,936.00",,
Caribbean,31.07,,,,
Caribbean Small States,,"$15,994 ",,,
Cayman Islands,,"$73,634 ","64,947.00",,
Central African Republic,40.71,$945 ,4750000,,
Central Asia,101.21,,,,
Central Europe,42.79,,,,
Central Europe and the Baltics,,"$32,554 ",,,
"Central Europe, Eastern Europe, and Central Asia",47.36,,,,
Central Latin America,32.93,,,,
Central sub-Saharan Africa,40.98,,,,
Chad,31.18,"$1,580 ",15950000,,
Channel Islands,,,"172,264.00",,
Chile,25.16,"$24,968 ",18950000,,
