Entity,Code,Year,GDP per capita
Afghanistan,AFG,2019,2065.036235
Africa Eastern and Southern,,2019,3568.597017
Africa Western and Central,,2019,4142.398382
Albania,ALB,2019,13671.48842
Algeria,DZA,2019,11510.55709
Angola,AGO,2019,6670.331458
Antigua and Barbuda,ATG,2019,21548.72501
Arab World,,2019,14599.70789
Argentina,ARG,2019,22063.90437
Armenia,ARM,2019,13653.76338
Australia,AUS,2019,49455.53851
Austria,AUT,2019,55833.31569
Azerbaijan,AZE,2019,14439.3014
Bahamas,BHS,2019,37100.36296
Bahrain,BHR,2019,45060.42374
Bangladesh,BGD,2019,4753.726597
Barbados,BRB,2019,15639.04784
Belarus,BLR,2019,19283.11715
Belgium,BEL,2019,51742.72638
Belize,BLZ,2019,7251.921351
Benin,BEN,2019,3287.309538
Bermuda,BMU,2019,81804.26568
Bhutan,BTN,2019,11832.15825
Bolivia,BOL,2019,8724.474187
Bosnia and Herzegovina,BIH,2019,14896.79004
Botswana,BWA,2019,17776.80831
Brazil,BRA,2019,14763.8717
Brunei,BRN,2019,62098.01134
Bulgaria,BGR,2019,23191.57458
Burkina Faso,BFA,2019,2178.322879
Burundi,BDI,2019,751.6641528
Cambodia,KHM,2019,4388.800909
Cameroon,CMR,2019,3642.276273
Canada,CAN,2019,49006.74311
Cape Verde,CPV,2019,7171.826425
Caribbean Small States,,2019,15994.26046
Cayman Islands,CYM,2019,73633.70163
Central African Republic,CAF,2019,945.1420429
Central Europe and the Baltics,,2019,32553.73244
Chad,TCD,2019,1579.626101
Chile,CHL,2019,24967.58021
China,CHN,2019,16092.30077
Colombia,COL,2019,14585.30249
Comoros,COM,2019,3059.491726
Congo,COG,2019,3842.798856
Costa Rica,CRI,2019,20805.34368
Cote d'Ivoire,CIV,2019,5212.554021
Croatia,HRV,2019,28753.51627
Curacao,CUW,2019,24494.34261
Cyprus,CYP,2019,40226.80949
Czechia,CZE,2019,40696.31049
Democratic Republic of Congo,COD,2019,1097.94884
Denmark,DNK,2019,57678.09889
Djibouti,DJI,2019,5534.766172
Dominica,DMA,2019,11905.87052
Dominican Republic,DOM,2019,18412.89999
Early-demographic dividend,,2019,9534.210635
East Asia & Pacific,,2019,17705.04677
East Asia & Pacific (IDA & IBRD),,2019,14566.84478
East Asia & Pacific (excluding high income),,2019,14415.51916
